data_snapshot,serial,anv,ano,mes,evento,comentario
2026-07-15,PCE-PC2232,2743,2026,8,TBO,"AT 386000001002  500H

Disponível no CAN-SP no dia 02/07, emergência já atrelada."
2026-07-15,PCE-PC1832,False,2026,6,TBO,"AT 313000000695
4450H

Motor substituto já em MN"
2026-07-15,PCE-PC2358,2736,2026,9,TBO,"AT  13000000580  /  Possui em vigor uma extensão de 150h para o cumprimento da HSI (AT 313000000528), das quais já voou 136:25h (portanto, restam 13:35h até a parada para execução da HSI). 3300H FEZ HSI.
sem at de tbo"
2026-07-15,PCE-PC2115,2732,2026,9,TBO,sem at
2026-07-15,PCE-PC2257,2709,2026,11,HSI,
2026-07-15,PCE-PC0776,2740,2026,11,HSI,"Fez o 1° HSI COM 1941H, O PROX SERÁ COM 3441.


at 313000000719 ATÉ 4.250 HORAS  para tbo


AT 313000000745 DA CT DISK
motor POSSUI TSO DE 2.941:00H, RESTANDO 500:15H . vai casar exatamente com o HSI 3.441,25"
2026-07-15,PCE-PC0776,2740,2028,8,TBO,
2026-07-15,PCE-PC2055,2722,2026,12,TBO,"AT 685000002046, CONCEDEU MAIS 400H"
2026-07-15,PC-EPC0431,2719,2027,3,TBO*,"PREVISÃO PARA O PRÓXIMO HSI COM 4665:30 TSO
AT 685000001688
4.700:00 FH, PARA REVISÃO GERAL.

*Está previsto p/JAN. Puxamos p/ DEZ pensando no pior cenário."
2026-07-15,PCE-PC2223,2723,2027,3,HSI,"1326 h disponíveis em fev/26 segundo operador. tbo 4000h
PROXIMO HSI COM 
3.239"
2026-07-15,PCE-PC2223,2723,2028,7,TBO,
2026-07-15,PCE-PC2290,2729,2026,6,HSI,"AT 685000001498   /  2.439:15 HORAS DE MOTOR COM 707:05 HORAS DISPONÍVEIS PARA HSI.OU SEJA 3146:20
O PAMASP ADIANTOU POR AT, POIS PARÂMETROS DEGRADARAM."
2026-07-15,PCE-PC2290,2729,2027,4,HSI,
2026-07-15,PC-E17377,2703,2027,6,TBO,
2026-07-15,PCE-PC0743,2742,2027,10,HSI,
2026-07-15,PCE-PC0743,2742,2029,12,HSI,
2026-07-15,PCE-PC1868,2704,2025,5,HSI,
2026-07-15,PCE-PC1868,2704,2025,8,TBO,
2026-07-15,PCE-PC1868,2704,2027,7,TBO,
2026-07-15,PCE-PC2047,2739,2027,6,HSI,
2026-07-15,PCE-PC2261,2720,2028,2,TBO,
2026-07-15,PCE-PC0797,2733,2027,8,TBO,"AT 396000000363  / 4.500:00 HORAS PARA REVISÃO GERAL

AT 396000000321   /  MOTOR DISPONÍVEL 232:05 PARA HSI; TSN 6.327:40; TSO: 3.825:30H;  /   HSI COM 4057H"
2026-07-15,PCE-PC1860,2741,2025,9,HSI,
2026-07-15,PCE-PC1860,2741,2028,4,TBO,
2026-07-15,PCE-PC2360,2708,2028,5,HSI,
2026-07-15,PCE-PC2360,2708,2030,4,TBO,
2026-07-15,PCE-PC1570,2737,2028,11,HSI,
2026-07-15,PCE-PC0499,False,2029,2,HSI,
2026-07-15,PCE-PC1734,False,2029,8,HSI,
2026-07-15,PCE-PC1211,2738,2029,1,HSI,
2026-07-15,PC-E17371,False,2025,8,TBO,"contabilizado AT

AT 346000000182 250h após o TBO."
2026-07-15,PC-E17371,False,2026,9,TBO,"contabilizado AT

AT 346000000182 250h após o TBO. E 346000000189"
2026-07-15,PCE-PC1002,2727,2029,3,HSI,
2026-07-15,PCE-PC1783,False,2025,8,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-15,PCE-PC1783,False,2026,1,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-15,PCE-PC1835,False,2025,8,TBO,
2026-07-15,PCE-PC1835,False,2025,9,TBO,
2026-07-15,PCE-PC2042,False,2025,2,HSI,
2026-07-15,PCE-PC2042,False,2025,8,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-15,PCE-PC2042,False,2025,9,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-15,PCE-PC1666,2731,2030,10,HSI,
2026-07-16,PCE-PC2232,2743,2026,8,TBO,"AT 386000001002  500H

Disponível no CAN-SP no dia 02/07, emergência já atrelada."
2026-07-16,PCE-PC1832,False,2026,6,TBO,"AT 313000000695
4450H

Motor substituto já em MN"
2026-07-16,PCE-PC2358,2736,2026,9,TBO,"AT  13000000580  /  Possui em vigor uma extensão de 150h para o cumprimento da HSI (AT 313000000528), das quais já voou 136:25h (portanto, restam 13:35h até a parada para execução da HSI). 3300H FEZ HSI.
sem at de tbo"
2026-07-16,PCE-PC2115,2732,2026,9,TBO,sem at
2026-07-16,PCE-PC2257,2709,2026,11,HSI,
2026-07-16,PCE-PC0776,2740,2026,11,HSI,"Fez o 1° HSI COM 1941H, O PROX SERÁ COM 3441.


at 313000000719 ATÉ 4.250 HORAS  para tbo


AT 313000000745 DA CT DISK
motor POSSUI TSO DE 2.941:00H, RESTANDO 500:15H . vai casar exatamente com o HSI 3.441,25"
2026-07-16,PCE-PC0776,2740,2028,8,TBO,
2026-07-16,PCE-PC2055,2722,2026,12,TBO,"AT 685000002046, CONCEDEU MAIS 400H"
2026-07-16,PC-EPC0431,2719,2027,3,TBO*,"PREVISÃO PARA O PRÓXIMO HSI COM 4665:30 TSO
AT 685000001688
4.700:00 FH, PARA REVISÃO GERAL.

*Está previsto p/JAN. Puxamos p/ DEZ pensando no pior cenário."
2026-07-16,PCE-PC2223,2723,2027,3,HSI,"1326 h disponíveis em fev/26 segundo operador. tbo 4000h
PROXIMO HSI COM 
3.239"
2026-07-16,PCE-PC2223,2723,2028,7,TBO,
2026-07-16,PCE-PC2290,2729,2026,6,HSI,"AT 685000001498   /  2.439:15 HORAS DE MOTOR COM 707:05 HORAS DISPONÍVEIS PARA HSI.OU SEJA 3146:20
O PAMASP ADIANTOU POR AT, POIS PARÂMETROS DEGRADARAM."
2026-07-16,PCE-PC2290,2729,2028,12,TBO,
2026-07-16,PC-E17377,2703,2027,6,TBO,
2026-07-16,PCE-PC0743,2742,2027,10,HSI,
2026-07-16,PCE-PC0743,2742,2029,12,HSI,
2026-07-16,PCE-PC1868,2704,2025,5,HSI,
2026-07-16,PCE-PC1868,2704,2025,8,TBO,
2026-07-16,PCE-PC1868,2704,2027,7,TBO,
2026-07-16,PCE-PC2047,2739,2027,6,HSI,
2026-07-16,PCE-PC2261,2720,2028,2,TBO,
2026-07-16,PCE-PC0797,2733,2027,8,TBO,"AT 396000000363  / 4.500:00 HORAS PARA REVISÃO GERAL

AT 396000000321   /  MOTOR DISPONÍVEL 232:05 PARA HSI; TSN 6.327:40; TSO: 3.825:30H;  /   HSI COM 4057H"
2026-07-16,PCE-PC1860,2741,2025,9,HSI,
2026-07-16,PCE-PC1860,2741,2028,4,TBO,
2026-07-16,PCE-PC2360,2708,2028,5,HSI,
2026-07-16,PCE-PC2360,2708,2030,4,TBO,
2026-07-16,PCE-PC1570,2737,2028,11,HSI,
2026-07-16,PCE-PC0499,False,2029,2,HSI,
2026-07-16,PCE-PC1734,False,2029,8,HSI,
2026-07-16,PCE-PC1211,2738,2029,1,HSI,
2026-07-16,PC-E17371,False,2025,8,TBO,"contabilizado AT

AT 346000000182 250h após o TBO."
2026-07-16,PC-E17371,False,2026,9,TBO,"contabilizado AT

AT 346000000182 250h após o TBO. E 346000000189"
2026-07-16,PCE-PC1002,2727,2029,3,HSI,
2026-07-16,PCE-PC1783,False,2025,8,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-16,PCE-PC1783,False,2026,1,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-16,PCE-PC1835,False,2025,8,TBO,
2026-07-16,PCE-PC1835,False,2025,9,TBO,
2026-07-16,PCE-PC2042,False,2025,2,HSI,
2026-07-16,PCE-PC2042,False,2025,8,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-16,PCE-PC2042,False,2025,9,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-16,PCE-PC1666,2731,2030,10,HSI,
2026-07-17,PCE-PC2232,2743,2026,8,TBO,"AT 386000001002  500H

Disponível no CAN-SP no dia 02/07, emergência já atrelada."
2026-07-17,PCE-PC1832,False,2026,6,TBO,"AT 313000000695
4450H

Motor substituto já em MN"
2026-07-17,PCE-PC2358,2736,2026,9,TBO,"AT  13000000580  /  Possui em vigor uma extensão de 150h para o cumprimento da HSI (AT 313000000528), das quais já voou 136:25h (portanto, restam 13:35h até a parada para execução da HSI). 3300H FEZ HSI.
sem at de tbo"
2026-07-17,PCE-PC2115,2732,2026,9,TBO,sem at
2026-07-17,PCE-PC2257,2709,2026,11,HSI,
2026-07-17,PCE-PC0776,2740,2026,11,HSI,"Fez o 1° HSI COM 1941H, O PROX SERÁ COM 3441.


at 313000000719 ATÉ 4.250 HORAS  para tbo


AT 313000000745 DA CT DISK
motor POSSUI TSO DE 2.941:00H, RESTANDO 500:15H . vai casar exatamente com o HSI 3.441,25"
2026-07-17,PCE-PC0776,2740,2028,8,TBO,
2026-07-17,PCE-PC2055,2722,2026,12,TBO,"AT 685000002046, CONCEDEU MAIS 400H"
2026-07-17,PC-EPC0431,2719,2027,3,TBO*,"PREVISÃO PARA O PRÓXIMO HSI COM 4665:30 TSO
AT 685000001688
4.700:00 FH, PARA REVISÃO GERAL.

*Está previsto p/JAN. Puxamos p/ DEZ pensando no pior cenário."
2026-07-17,PCE-PC2223,2723,2027,3,HSI,"1326 h disponíveis em fev/26 segundo operador. tbo 4000h
PROXIMO HSI COM 
3.239"
2026-07-17,PCE-PC2223,2723,2028,7,TBO,
2026-07-17,PCE-PC2290,2729,2026,6,HSI,"AT 685000001498   /  2.439:15 HORAS DE MOTOR COM 707:05 HORAS DISPONÍVEIS PARA HSI.OU SEJA 3146:20
O PAMASP ADIANTOU POR AT, POIS PARÂMETROS DEGRADARAM."
2026-07-17,PCE-PC2290,2729,2028,12,TBO,
2026-07-17,PC-E17377,2703,2027,6,TBO,
2026-07-17,PCE-PC0743,2742,2027,10,HSI,
2026-07-17,PCE-PC0743,2742,2029,12,HSI,
2026-07-17,PCE-PC1868,2704,2025,5,HSI,
2026-07-17,PCE-PC1868,2704,2025,8,TBO,
2026-07-17,PCE-PC1868,2704,2027,7,TBO,
2026-07-17,PCE-PC2047,2739,2027,6,HSI,
2026-07-17,PCE-PC2261,2720,2028,2,TBO,
2026-07-17,PCE-PC0797,2733,2027,8,TBO,"AT 396000000363  / 4.500:00 HORAS PARA REVISÃO GERAL

AT 396000000321   /  MOTOR DISPONÍVEL 232:05 PARA HSI; TSN 6.327:40; TSO: 3.825:30H;  /   HSI COM 4057H"
2026-07-17,PCE-PC1860,2741,2025,9,HSI,
2026-07-17,PCE-PC1860,2741,2028,4,TBO,
2026-07-17,PCE-PC2360,2708,2028,5,HSI,
2026-07-17,PCE-PC2360,2708,2030,4,TBO,
2026-07-17,PCE-PC1570,2737,2028,11,HSI,
2026-07-17,PCE-PC0499,False,2029,2,HSI,
2026-07-17,PCE-PC1734,False,2029,8,HSI,
2026-07-17,PCE-PC1211,2738,2029,1,HSI,
2026-07-17,PC-E17371,False,2025,8,TBO,"contabilizado AT

AT 346000000182 250h após o TBO."
2026-07-17,PC-E17371,False,2026,9,TBO,"contabilizado AT

AT 346000000182 250h após o TBO. E 346000000189"
2026-07-17,PCE-PC1002,2727,2029,3,HSI,
2026-07-17,PCE-PC1783,False,2025,8,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-17,PCE-PC1783,False,2026,1,TBO,"contabilizado AT
AT 690000000540 200H"
2026-07-17,PCE-PC1835,False,2025,8,TBO,
2026-07-17,PCE-PC1835,False,2025,9,TBO,
2026-07-17,PCE-PC2042,False,2025,2,HSI,
2026-07-17,PCE-PC2042,False,2025,8,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-17,PCE-PC2042,False,2025,9,TBO,"contabilizado AT
Essa aeronave vai para o Rumba para voar com estagiário e vai aumentar o consumo de Hr. AT vai até 5360h"
2026-07-17,PCE-PC1666,2731,2030,10,HSI,
